account,userType,percent,tokenAmount
VOIH4YG4VLOGXS5SRQSLTVPXLIC5TBM7KGOZ25IS5YQS2L67RBD2NZFHUE,6,0.64,15889.830508 VOI
BSVFQL2I7YZWVRQ5THOPTXZXPUYOMYPXUGJUQLVZGQEEPJ27EUZCPEANDI,5,0.53,13241.525424 VOI
6Q74W36WN35KYKWJ3TLYZKG7AVKTUQQPKF3URGFFQY4NMUWVHCDL53GRFY,8,0.85,21186.440678 VOI
JAAEBTA3R4CP5VGNGMLLQ57DLCQ2M5LKNGA3NI5FIHFQQWPV4E55NAK37E,8,0.85,21186.440678 VOI
EX42AQ6AU5ZX6EUDSP6CMKBOPOM4EXUJPDURGADOPT6VQKPSG5Z2JVVOQY,4,0.42,10593.220339 VOI
ACP4CXBXEVEYH6LKZRFWF2HG3FEESIWJWTYBSTQELR7K46G3IHYFAPFX3E,5,0.53,13241.525424 VOI
SL7FKCMPOY2SBWHWANY37X26FQZJW67U7ZC2ZA5UK7GAZIXPB3UX6ED2PE,10,1.06,26483.050847 VOI
XM4ZODSANMIBBY6P6QJO65BCRLNTFTLMLI7UTDO7OLS4N2ABB72WJXI3NE,8,0.85,21186.440678 VOI
N4KEY77NCU27TVNHFX5CEESMSJLZL67SCQBSIKNJQRFYMKKCIWXOCNHQHY,6,0.64,15889.830508 VOI
QIWYSUIDMMYHP3F2LRTWFPCADWXHCE26EMKITGOOP22WLKOCDG62CBYCUU,7,0.74,18538.135593 VOI
FQBOAHRBYSCNQRYYDY2CJXM4YJ65J2M4PQME7C7ZMY24SVNU2XFPQSKZY4,7,0.74,18538.135593 VOI
XIZCY3573263C5N5KS7BTZGB2AM2GDMKHGTWXDHS4VB4L77E3V6LAEFRYA,5,0.53,13241.525424 VOI
RCTDIDXBAS2TIAYQZOFJTCIXD5HRANYJH2CBBMEPSYQ37IZZOHTZNDESQY,9,0.95,23834.745763 VOI
4NDEJKMLZEY276DZSHT2WD67L5QQE2ZHX2UQAZ2N5N2HMLHDCNOPQAUM2Y,9,0.95,23834.745763 VOI
PIN57KE5EU7NKHERL4MDS46GJWNE6RPUH2SLQEK7BAXRKMZC3RLIGV5LO4,5,0.53,13241.525424 VOI
UIOFPPIDQ7NBDP74BI5RS6E32LWPK7XFPUTDDS5JUXXENZWKY4IRYJODKE,7,0.74,18538.135593 VOI
XMU47TKW2UJOIF3PAMPF5UNJXSXVPUX53F66FHTQJQHMT6EV4FY5VVA6H4,6,0.64,15889.830508 VOI
ZJH2W6EUELASJOUFBVFTROFGP3COVDPZTMBZHWRMTGEJYEHQVGAHMGWMUY,2,0.21,5296.610169 VOI
DJASBA6SCNC5HT463XRDONJ7W44HM4KXK7UB3TOF7ISZONSHG4YVTGTQWE,5,0.53,13241.525424 VOI
CUY4TINI2DHV333UUNGDMVD23RDY7LMGEB2ZP364OWVLAWY5UGXR53OVOI,1,0.11,2648.305085 VOI
SRFARKN5FMO7BI37VHUMKC7IQO6PLIE7UPJAJ3NBLER5RZZJ5LEHCUWFLI,7,0.74,18538.135593 VOI
VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,3,0.32,7944.915254 VOI
KM76LLMPQMQMOOAJ22OMXGA7Y4ACRXIX3Y4PRLSBV6JAAKJFEGJQOMDLEI,10,1.06,26483.050847 VOI
FMZOL7NMTIAIEQBNRMWQD5FSK7A6MDVCIPMXLFJ6DN3TC3NXF4ZPAYSI4I,4,0.42,10593.220339 VOI
HRBS5SLOFBXXSQRUHBSGH3E3R6PHSHVVUXY65POW3XHT7JOMPJF6T6KJA4,6,0.64,15889.830508 VOI
G2OYAUKAEINBZ4YHUDYDDARZY3PXE7TBHN37ACIXHUPVIYWRHALO2I326E,1,0.11,2648.305085 VOI
DCB3QC2V5KA3AAYGHXNV7E32J4UDP5Z7HVQTBCRYWYTKOUUD7PO5UJVZ5E,2,0.21,5296.610169 VOI
